id_komentar,author_name,text_display,Sentimen
UgxIYgX15ktKkPHD_Jp4AaABAg,Dono Bonek,"Mudah""Han dengan adanya new normal masyarakat yg perekonomiannya melemah segera bangkit kembali..amin..amin..amin",1.0
UgzGUl0kMEzJx-Zo3454AaABAg,heiko official,"Padahal virus Corona masih ada ..
..tetapi kalau
Di rumah terus kita akan kelaparan..
..
Keluar rumah ..semoga aja ga banyak yg mati karena corona ..",0.0
UgwqGyNg1dtWJIs1p1l4AaABAg,Ronal Apriyanto,"Saya terkena dampak Covid-19 yg tidak bisa kembali kewilayah dinas bekerja sesuai SK sekitar 1 bulan,kajian saya jika wilayah/daerah tempat saya berdinas masih zona merah yang artinya masih berbahaya untuk didatangi yg secara realita dimedia sosial mungkin nyata,tetapi realitas secara bukti nyata dilihat dengan mata kepala saya belum bisa saya buktikan,wilayah/daerah tempat berdomisili saya sekarang yaitu Medan-Sumatera Utara dimedia sosial juga zona merah tetapi mungkin titik-titik tertentu,tetapi secara realitas bukti mata saya dilapangan tetap normal seperti biasa.",0.0
Ugw0YVGkKfQUX4mX1H94AaABAg,OnEzEr0 YT,Berkacalah pada negara tetangga (Korsel) apakah efektif..??,0.0
Ugw4Fh3AzwyzCmkCSC14AaABAg,Slamet Riyady,"Pemerintah jangan hanya yg dekat dari jakarta saja, berikan pengayoman penuh, kebutuhan hidup rakyat miskin.",0.0
UgzWiNZNxWes-6NkvYh4AaABAg,Anonim Are you sure,Sistem gak jelas .... Orang tua emang gitu .....jangan nurut deh sama sistem nya orang tua ! . Kalo emang sistem nya itu bagus kenapa masih banyak orang miskin . .... Kita anak muda harus bergerak jangan dengar yang tua  . Kalo gak ada pemuda mungkin sampai saat ini Indonesia tidak akan merdeka.,-1.0
Ugxd57fJaQInjwz_kVR4AaABAg,Crazy Hitman,Selamatkan ekonomi siapa pak.. ekonomi negara atau ekonomi rakyat???,-1.0
UgyEs6WoXzwAWoVOx2R4AaABAg,Purwanto Adi,"normal penuh aturan yg untung boleh kliaran org2 pegawai,klo org kcil cri usaha pasti di sangsi trus dtakut2i,denda ini itu..",-1.0
UgwgKIjALMdZtY5By7p4AaABAg,B PARDEDE,suasana ini menyuruh setiap orang supaya jaga diri masing masing agar terhindar dari corona. dan saya yakin kalau terus masih ada penambahan positif corona team medis tidak akan sanggup menanganinya jadi kita warga indonesia bagusnya berjaga diri masing masinglh,0.0
UgzqGNYA24AjoQH-M9V4AaABAg,Joko Jatmiko,"Kenapa yg di buat new normal gk di semarang atau surabaya saja,,,kan gubenurnya dan walikotanya hebat2,,,sampai2 gk ada corona ,,, yg kemarin di caci maki di hina2 sama cebong dn para ketuanya,, malah di buat new normal,,,tak tau malu,,,",-1.0
UgytyLox-PNl1a1PhCR4AaABAg,Febrionas Pawit,Pak bagaimana dengan kami yang dirantaun..yg ingin pulang tapi persyaratannya terlalu rumit🙏,0.0
UgyyR_T3MKMxwTf-ysd4AaABAg,Satrio Wibowo,"Yakin kasian tim medis,, kalau semakin banyak korban karena adanya new normal,  tim medis pasti stres dan seperti tak di hargai .",-1.0
UgzQr6KCG909C9DzQ3R4AaABAg,Dicky Wahyudi,"Selamatkan ekonomi, tapi kesehatan rakyat diabaikan.
F*ck",-1.0
UgzUWpmo0__MyfyMX-t4AaABAg,Ndaru Megantoro,Tuh korea selatan aja sehari new normal langsung lock down lagi krna kasus naik drastis... Itu negara disiplin aja gak sanggup new normal apalagi negara kita yg masyarakat nya bnyk yg bandel....,-1.0
Ugyfc_sFNZuCk0ZYlJN4AaABAg,Ardi Cielers,"Saya sebagai warga bekasi siap mengikuti  aturan pemerintah, dengn d siplin,, demi kemajuan ekonomi indonesia",1.0
Ugx815pehGqinrlP2td4AaABAg,Wiwi Ali,Asalamualikum bpk jokowi dalam lindungan mu ya allah hurobi lindungilah bpk negara ku dooa ku untuk bpk jokowi,1.0
UgzfvT2NreD2nRE1rf94AaABAg,dimas saputra,Jokowi cungkring bisanye ngutang doang dikit lagi mati die,1.0
UgznqNb3hcBwRHC8skt4AaABAg,Kanjenk Dory,"koq new normal ini terlalu dibesar2kan ya...!?
tapi apa dan bagaimana new normal itu sendiri belum jelas..",0.0
UgxXo1pPsOyqsitBMN54AaABAg,mia ramadhona,"Yang jelas siapapun presidennya klo yang di hadapi Corona pasti puyeng juga...
Ini.semuh tangung jawab kita semuh bro....",0.0
UgwZZ3KplSddi8nX-lF4AaABAg,Anita Doang,Apa gara2 sunda empire d ganggu. And d bubarkan. Jadi tatanan dunia g seimbang. Save sunda empire 😀😂,0.0
UgxSKTsFO5kjr8r7Ow54AaABAg,DMP DaD,dijamin yg positif akan melonjak warga +62 kan luar biasa,-1.0
UgzweTw2P_hQQPsApZt4AaABAg,Satya Bayu,"maskernya jangan dilepas, khawatir sama mic-nya",0.0
UgyMdVP6h0m7CD-IBat4AaABAg,Nur Haini,Serbasalah jadi pemimpin. Di rumahkan ekonomi rakyat terancam mati kelaparan. Di bebaskan terancam mati krna virus. Menang kalahnya dgr suara terbanyak pak .,0.0
Ugw3m0qPcRFRPlHzk854AaABAg,Arif Arif,"Perasaan masih naik kasusnya tp kok udah mau bikin tatanan baru
Aneh..........",-1.0
UgxSFY8e49d2qeHB1Wp4AaABAg,Bang Dhika,"Dimalaysia sudh duluan menerapkan ini. Dan hasilnya cukup ok. Karena untuk menggerakkan ekonomi...
Semngat indonesia",1.0
UgzKKQ2c0c6s01M6zzx4AaABAg,heny Souw,"Sebenarnya ada kebijakan kalo presiden dan jajarannya tidak bisa menghadapi alias gagal maka memang harus diganti tapi itu tidak akan bisa soalnya pondasi pemerintahan kita sudah hancur dari awal, sebelum covid menyebar kalian lihat sendiri kan legowo banget cara kebijakan dilakukan segala akses masih dibuka keluar masuk,Sulit dan sedih Tapi faktanya kita itu FAIL STATE/NEGARA GAGAL,sebelum covid melanda pernah gak sih kalian bertanya kok negara china dan indonesia yang awal berdirinya sama sama negara susah malah china yang sangat maju pikirkan baik baik saudara indonesiaku tanpa covid aja negara kita udah gak tau nasibnya gimana sekarang ditambah lagi covid saran aja mungkin ini sedikit gila dan terdengar penghianat 
""Tinggalkan Kapal Sebelum Tenggelam"" save uang sebanyak mungkin dan pindah kewargenegaraan agak aneh memang tapi suatu saat ketika memang gak ada pilihan keputusan masing masing dari diri kita harus dibuat",-1.0
UgzWzHGz4i8fqYd5iz54AaABAg,Aulia Evan,"Covid19 tu main main apa d permainkan,,, LUCU,,, yg kena virus banyak ko bisa sembuh,, padahal vaksin blom ada 😂😂😂😂 LUCUNYA lg mao new normal makin ngkakak🤣🤣🤣🤣🤣",-1.0
UgxBmFDEotCGL2e_dlR4AaABAg,Ersin Arika,"ngurusin tatanan baru, tatanan lama sja belum beres. mending utamak in kuantitas rakyat, mslh adaptasi bisa mengikuti",-1.0
Ugz677ZWwaB9Yv4mmDV4AaABAg,ferry ferry,"Setubuh new normal,,mau sampe kapan lu pada di rumah doang??giliran di suruh di rumah aja juga pada nyolong2 keluar ,,inti nya nga semua warga indo bisa di atur,sudah terbukti kok,kalau fikiran gw si simple yg penting bisa cari duit,ketika gw ada duit gw bisa menjaga kebutuhan,juga kalau gw ada duit gw bisa membeli segala kebutuhan kesehatan contoh vitamin yg diperlukan,nahh kalau lu pada triak2 masih menyalahkan kalau new normal salah brarti anda orang yg sangat kaya,diam di rumah hindari covid tapi duit tetap bejibun,, gw lebih memilih dapat bekerja dan menghidari korban phk berjatuhan dari pada mengharap diam dirumah nunggu sembako😅😅,,kalau memang ada yg menentang new normal mending lockdown diri sendiri saja dirumah sama saja toh😁😁,ibarat orang puasa,,yg puasa ya puasa yg kaga ya kaga,😁😁simple saja",1.0
Ugwx0WaQ5z_MbIEA0Mx4AaABAg,Hitakamura Kenji,Pak presiden bawahanmu kasih infonya bikin bingung,0.0
UgwTHHOGieKIADZYja54AaABAg,zi sung kay'u,Terserah lah ABS... sebelum ada corona aj dh nyungsep ekonomi indonesia.,0.0
UgwH7pw8w4GWVGT0A654AaABAg,tidak usah komen inez,"seharusnya tidak menyalahkan pemerintah, menyalahkan wuhan sana, karena mereka pertama x yg menyebarkan virus ini",0.0
UgxFtFir4J1nuHUjDP94AaABAg,anto berasa,"Semoga covid secepatnya kembali ya Allah.
Agar kami bisa kembali menghirup nafas kehidupan yg telah kau hembuskan untuk kami.
Dalam nama Yesus kristus aku berdoa amin...",1.0
UgyPCqcSHHX67CnpDal4AaABAg,bahrul muhith,"kenapa ga dari kemaren""?kenapa pas abis lebaran new normal diresmiin..rakyat udah pada diphk, udah pada diberentiin kerja,pada kehilangan pekerjaan.yang dapet thr jadi ga pada dapet,yg harusnya dapet gaji normal jadi 20%..ingatlah siapapun yang menyulitkan urusan orang lain.celakalah dia, pas sakaratul maut disulitkan sama gusti ALLAH, melewati jembatan sirotulmustaqin disulitkan sama gusti ALLAH, dibarzah dan hizab disulitkan sama gusti ALLAH, bertemu dengan gusti ALLAH pun disulitkan..",-1.0
UgyhxuLxGJ6pdKDKTjt4AaABAg,Rinaldy Putra Utama,Mikirin ekonomi negara... masyarakat dijadikan tumbal,-1.0
Ugy0Dt4rAtiT2Pc1xaJ4AaABAg,Balon saja,Siap dukung new normal ..... Tidak mengeluh tidak menyerah dan tidak terserah..... Hati2 dalam bekerja 😁,1.0
UgxCxhVHxJb1UMx99uV4AaABAg,Thoriq Gibraltar,"Cape deh....istilah2 baru akan muncul yg membingungkan rakyat...
Gazebo....",-1.0
UgyQ4iQFp6EB5NgVGYl4AaABAg,sweetcat,Gx masalah lah lagian percuma ada psbb orang ttp byk yg ngeyel  kan... Trus ekonomi jd trhambat trutama petani dan produksi pangan.. indonesia  bisa klaparan kl ttp ada psbb...,1.0
Ugx2ZxtSKF19vnqMNtF4AaABAg,Fakultas Kedokteran,"Bagus pak jokowi.. bebaskan rakyat.. yg aktifitas cari duit silahkan,, untk aparat ngawasi santai aj pak, jgn trlalu lebay, buarin rakyat bebas hidup dan mati..",1.0
Ugz2PMSw4mkZu4PCyt54AaABAg,deny kaper,Hai giliran di bokehin kluar pada bacot..dulu di suruh lockdown pada kluar..hais indonesia..bukan pemerintah tapi masyarakatnya,1.0
UgzoSydMxZrDz-fCzZR4AaABAg,Dodo Mio,Telo godok..pastinya korban akan berjatuhan kena corona..bilang aja lok gak.mau membntu rkytmu,-1.0
UgybLqT_WVVhihg88TF4AaABAg,rizky ariguna,"Yg kuat akan bertahan yg lemah akan mati. Ini sbnernya trik untuk mengurangi populasi manusia. Kita dituntut buat hidup sehat men. Jangan sampe sakit karena apa?? Kalo kita sakit udah pasti divonis corona dan penangannanya pun beda.
Kita dibuat mati pelan""...",-1.0
UgwJSKwVYBXKWKzVgxN4AaABAg,Imam Turmudhi,Akhirnya ikut rangga sasana sunda empire 😂😂😂😆😆😆,0.0
UgzALp3eJ65ewdeVt-14AaABAg,Nurdiyanti Salsa,Masyarakat yang ngeyel pemerintah vyg disalahin aduh kaisan pemerintah,1.0
UgxPsO7mo_Y2MW580h14AaABAg,Ray Permana Basalamah,Tepat langkah pak Jokowi.... moga ekonomi pulih kembali dan corona punah....,1.0
UgwqI_U6tQZ0seS97Ip4AaABAg,View Hours,"Mau ngeritik takut di pidana.pdhl covid bisa seheboh ini karna kn negara yg telat antisipasi, vietnam is the best sigap antisipasi hadiah nya negara pling minim kena dampak covid. Pdhl cina vietnam cukup dekat dan cina indo jarak nya sangat jauh.",-1.0
UgwWkSzr21TnODni19t4AaABAg,iyud Agusramdan,"Ko kebijakan gubernur jawa barat beda dengan kebijakan presiden,ko jawa barat perpanjang PSBB.",0.0
Ugxzl_moHQnyWCTWlAR4AaABAg,JURAGAN 737,Cuma bisa tertawa melihat orang yang sudah memilih pak Jokowi jadi presiden.... Hehehehhee,-1.0
Ugz_ZGHN1jUPti4mnNN4AaABAg,Rochmat Moch,Hati2 dgn NEW NORMAL karena korea selatan gagal menerapkan tatanan NEW NORMAL meskipun kurva positif covid-19 sudah melandai atau menurun n pd tgl.28 mei banyak lg yg terpapar. Korsel langsung menerapkan pembatasan sosial. Nah bgmn dgn Indonesia jgn terlalu mementingkan kapitas bisnis yg merugi terus.,0.0
UgxWJ2A2RLku_WHHXmp4AaABAg,"dr.Erlangga Almahmud,.sp,paru","Wkwkw temen temen gue rata rata dari zona merah, pasti nanti bakal kena Corona 1 sekolah.
Pemerintah telah membuka sekolah tetapi hari ini mencetak rekor 3500 orang positif 😂😅Wadauhh",-1.0
UgzVTFhC9h8Xgs0b6Gx4AaABAg,yohanes wahyu,"new normal, tatanan baru... semoga ini tidak ada kaitanya dengan konspirasi dari ==> mata satu....",0.0
UgwHoW-cTVM7giPioHV4AaABAg,DAPUR ARAB SEMUA RESEP,Sehat selalu ya pak jokowi dan doa ku semoga virus Corona segera berahir hilang amiin,1.0
UgwvlYZJeBa0lmtPBph4AaABAg,M.fikri Surya,new normal itu sebuah solusi atau pelarian?,-1.0
Ugy-wpmhX0RN86_R6d54AaABAg,Sef Nua,"jangn telallu ngmbil kebijakn yg bakl akirnya bisa merugikan.
ingat corona tdk bisa di musnahkan ttp waspada",0.0
UgzTeGrYhiGXmcEvZqR4AaABAg,Tusirah Ira,"Lindungilah kami ya Alloh yg tengah mjalankan tugas mulia,jauhkan kah kami dari covid 19,karena kami tidak bisa bkerja dari rumah",0.0
UgzpfuP9fbeG-Bxxtst4AaABAg,Prio Dilliarswindo,Korea Selatan info nya gagal juga new normal,-1.0
UgwiwXKmkiE1Jgx4nnt4AaABAg,AWN TV,"Lawan korona menggebu, ujungnya minta damai🤣melehoy",-1.0
UgxK-ItE9KgI3RYVul54AaABAg,Avan Sanji,"New normal ,newbledos pasien positif haduhh",-1.0
UgzGOQLPjVULRRcT6Fd4AaABAg,Rizky Alfian,"Yth bpak jokowi dodo ,mohon pendidikan sekolah sdit tk smp sampai kuliah mohon masuk kembali biar ilmu  &ekonomi kondusif saya mentaati protokol ,krn jualan bergantung pada anak kampus ,terima kasih banyak pak &
Chanelnya good inpo",0.0
UgzR0pbqKuhFuJsxJ_l4AaABAg,Mr ROHIDIN,"Toko kami sudah di TUTUP lebih dari 2 Bulan, mau makan apa kalau terus Lockdown. Kenapa nggak dari awal Produktif tapi Aman...!!!!",1.0
UgxZXOmcFxLJ7l4VFal4AaABAg,Ricky tarigan,"Gausa serang pemerintah,cobak lu sendiri jadi pemerintahnya bisa gak?
Warga +62 taunya nyindirrr mulu,komentarinn muluu
Urus idup masing masing aja mas,huh",0.0
Ugw5ToEUO5Uav0lGiPt4AaABAg,Tips Receh ID,Permisi numpang liat komen netizen. Coz satu2nya hiburan video ini ya komenannya.,0.0
Ugxqj5OxRKB6U39lOr14AaABAg,jaka tingking,"Kata ""Tatanan"" dipelopori oleh sunda empire🤣",0.0
Ugwb8lH5soEMwa6ST5N4AaABAg,Anank Ardiyans,"Belajar dari pengalaman...karantina seharus nya diberlakukan sejak virus muncul diwuhan...bagi org2 yg datang dari luar indonesia...penerbangan internasional ditutup kecuali penerbangan lokal...
Penyesalan selalu datang terlambat",0.0
UgwoFfu5l2tE04bFliV4AaABAg,ayu sakinah,"Terserah lu aja bro, mau ngeprank jga bebas😅😅😅",0.0
UgwARHPaGHt-3PSTKcp4AaABAg,AdiVRO'CN BN1,"Terserah lah, ntar aja liat hasilnya. PSBB,NEW NORMAL HABIS INI APA LG YA??🙄",0.0
UgxJYDNOLJDvatYaYYt4AaABAg,Cah TeamLo,Hanya Bpk Presiden Jokowidodo Yang tangguh banyak coba'an Dari Masyarakat nya kurang senang . Yang Lain mah biasa. Lanjutkan Pak Presidenku.,1.0
Ugz6imPGkaDjuCNWxy14AaABAg,Alfarizi Gifar,"Muak aku dengan kebijakan mu wi, gada yang bener",-1.0
UgxT9oG4o30nu7V_0T14AaABAg,Jumria 2019,Ntar juga aturannya berubah lagi.... Jadi jangan terlalu ambil pusing . Toh juga yg pertama aktif new normal itu mall bukan tempat ibadah🤭🤭🤭,0.0
UgxWvDDTuYx_sZuN1ch4AaABAg,Melda Mustamin,3 bln di rmh berjuan memenuhi kebutuhan hidup.akhirx bisa new normal.mudah2an ekonomi bisa tumbuh.,1.0
Ugz8j9x8YzouLAs7yjN4AaABAg,fulloh arifq,Kita tunggu hasil new normal..klo gak lebih baik ya lebih buruk..,0.0
UgzndKm83SnKSsre7O94AaABAg,Adam Alfarizi,Sabar sabar sabar dan tunggu itu jawaban yang kami terima .,0.0
Ugx9MF6rrSF5NZuvL1d4AaABAg,Riston Tatengkeng,Penyampaian New Normal Life hrus disampaikan dengan baik. Krn bnyak yg masih bingung.,0.0
UgzgIKoMI5_kytzOB-F4AaABAg,Roosje TL,"Saran saja agar di setiap pintu masuk mall selain ada pencuci tangan juga dijual masker dan sarung tangan supaya pengunjung yang tidak memakai bisa beli dengan harga yang ""wajar""",0.0
Ugxajc6-jlgZoVySKpB4AaABAg,Denmash 87,"TATANAN BARU.....
Seperti kalimatnya Sunda Empire...
Orangnya ditangkep tp kalimatnya dipakai...


wkwkwkkwwk",0.0
UgwjA1Jeg2PAM6Ym1pd4AaABAg,BABI itu ngga berjenggot,Masuk telinga kanan keluar telinga kiri.,0.0
UgwurwLH45Q_jrDVmzt4AaABAg,Rohiman,Mulai PRANK lagi dengan mengorbankan masyarakat...khususnya masyarakat kecil...,-1.0
UgyjkZuikrACtfPwOK94AaABAg,KREKEes,"masa manusia bisa takut mahkluk kecil tak terlihat dari pada takut kepada allah : dibalik musibah ada hikmah . dibalik korona ada allah yg mengasihnya kepada manusia yg lalai akan perintahnya 
mari kita bersihkan korona dengan mendekatkan diri kepada allah.semoga korona hilang amiiiiin. pemimpin yg baik adalah pemimpin yg baik menjaga negara .",1.0
UgyR6XQYJXcCU2h2xgZ4AaABAg,bintang permata,Syarat syarat di bandara apa masih berlaku di bulan juni.,0.0
UgxQDTr1of2B4V6KIid4AaABAg,Endah Suarsih,"Saya dukung pak, dengan keyakinan n percaya kpda allah insyaallah kita smua d lindungi oleh allah n semoga allah mengangkat bersih covid  19 aamiin",1.0
UgxF4H2HkFZxTv8Sn2F4AaABAg,TaMu Channel,"Psbb dilonggarkan, bpjs dinaikan, harus berdamai dengan corona, yurianto bilang yg tidak bisa beradaptasi dengan corona tidak akan selamat, sekarang akan diterapkan new normal, kabarnya di korea selatan brtambah lagi kasus covid 19 setelah diberlakukan new normal.... Apa ini termasuk dalam herd imunity?🤔",0.0
UgxeFh3sTEKKsxi_n0Z4AaABAg,Behz Doank,Kata2 tatanan... Mengingatkan ku pada pemimpin sunda empire.. Xixiii,0.0
UgwJydA3li5R0yleycJ4AaABAg,Hadi Sutrisno,"Tatanan dunia baru
The new world order
Illuminati mulai bergerak",0.0
UgzgD934x4Gq2lNphqN4AaABAg,Ucil uklik,Dekatkan diri kepada yg kuasa dan jangan terlalu takut yg berlebihan dengan wabah ini 🙏,0.0
UgzKzFgUGnLWg_dW0X14AaABAg,Imas Nurhaya,Kami para perantau dah bisa mudik belum ??? 😢,-1.0
UgziU407lcfUKJkFked4AaABAg,Mite Gaming,"Rakyat indo be like "" Lockdown dong, gmn sih pemerintah tapi nnti rakyat makannya gmn ya ? Pemerintah bikin aturan ga jelas.. "" Ya udah gw bebasin tapi bersyarat skrg, tp nnti covidnya gmn nih? 
Serba salah, netizen selalu benar.. Yg masih mau ga kerja takut mati kena covid ya di rumah aja gpp gan, ga usah menggiring opini..  Yg punya usaha kalo ga di buka kasian keles banyak yg di phk, yg kerja jg pada di phk, mau ngasih makan anaknya pake apaan ? Coba berpikirnya lebih jauh, lebih pinter, lebih jernih, lebih adil",1.0
Ugzi_ZIROcK0ie73cHt4AaABAg,jimot 97,Yg diselamatkan itu manusianya dulu coyyy. Buat apa ekonomi tapi masyarakatnya pada modarrr,-1.0
UgzQMOwK8dcQlpREb9Z4AaABAg,Shihaam Rafandra,"Kalok tambah naik gmna?
Apa udah ada solusinya🧐",-1.0
Ugx0uDMtkfbDb196asx4AaABAg,Ichwan Hardianto,"Saya datang kesini untuk memastikan, warga Saya sudah siap diprank atau belum.",0.0
UgxXdtBUo88iNRg46ih4AaABAg,OiShi Jt,Jan lupa tetap pake masker jaga kebersihan dan jaga jarak,0.0
UgyF29L0IQEjIikq-EJ4AaABAg,MECCA EZA,Segera lakukan New Normal. Gak apa² biar rakyat cepat bekerja kembali,1.0
UgwxUzeVBCdyUUPcyeh4AaABAg,Devi Nuraeni,Dasar warga +62  mau normal atau nggak ttp d komen. Udh paling bnr aja.,0.0
UgxbiXtQKNBas3APzZ14AaABAg,jimas galih31,"Dibanding julid apalagi pesimis, mending banyak2in do'a, banyak2in hal positif,, dri pada punya cangkem sama tangan cuma buat nambah dosa,,",0.0
UgzN7hEoBNYg4jvljAp4AaABAg,y .y,"Sebenarnya gua takut korona, tpi apa boleh buat udh ga kerja 3 bln mau mkn pun susah, tabungan udh mulai menipis. Terpaksa pasang badan buat hidup normal, mati alhamdullilah. Sehat alhamdullilah",1.0
UgzrIXdYsHLe1FrOz-N4AaABAg,ruminah anisa,jaga kesehatan dn selalu berdoa biasakn hidup bersih,0.0
Ugxt--VQbJYLcKdNmTR4AaABAg,pimen motovlog,Saya mendukung segala kebijakanmu mr.president!!,1.0
UgwsQo2oCttN9l93iA94AaABAg,Ega Putra,Moga harga jagung normal .biar perani di desa makmur kembali,1.0
UgzsX1BSJYuNKA3fGhp4AaABAg,Omput is hire,Lucu deh pakde. Ayo pak sini blusukan disini. Banyak yg koar2 di sosmed sosialdisrancing dll tp real life gak ada tu socialdistancing. Rakyat gak boleh naik mobil kereta pesawat jaga jarak tapi aparat 1 truk bareng. Hahaha realita yang anda dengar/baca mungkin dibuat buat pakde sama yg buat.,-1.0
UgyoPbLOc1s37pvHAoJ4AaABAg,HyouMari,"mempercepat seleksi alam di indonesia ini xD
korsel aja gagal new normal... apalagi indo banyak warga oon yang kurang disiplin... ga pake masker dll",-1.0
UgwG3aT_ye8dnm3toHJ4AaABAg,SYARIF HIDAYATS,Ekonomi di selamatkan rakyat mati. Selamat datang di akhir zaman😭😭😭😭😭,-1.0
UgzuxtH8UmDaiaLQPB14AaABAg,Dodiirawan21c Channel,Orang gagal berbicara maaf ya ibunya aja tidak bisa dia selamatkan apalagi menyelanatkan rakyat indonesia.memang harus ganti persiden supaya rakyat indonesia bisa selamat dari covid19 amin yah Allah,-1.0
Ugwt5GdMEItJbiVgf9p4AaABAg,Arif Elcy,"Padahal korban masih terus berjatuhan.
Petugas medis pun masih bekerja.

Ini seperti lebih penting uang ketimbang nyawa.",-1.0
Ugxy81VthlxP1w9NgBF4AaABAg,Aan K-COES,Kebiasaan hidup bersih kita harus lebih di tingkatkan..Insya Allah kita terhindar dari wabah virus ini..!? 🙏🙏,0.0
UgzwGJy3DlDbKONmNW14AaABAg,anak kampung,Jgn menyalahkan pemerintah bro dimalaysia juga mch ada mslh soal covid-19 ni tapi kerajaan sudah mulai dibuka sdikit demi sedikit...tapi tetap mnjaga..kerna jika trus2n dicutikan semua akn dpt jdi susah bro,1.0
Ugw5sic0oaIVPmtKoV14AaABAg,pecinta keindahan,"Masih ingat ??? siapa yg kemarin pidato dgn pasti menyatakan bahwa obat Corona sdh ada namanya Avigan.... 
Kalo buka  ahlinya gak usah sok tau...",-1.0
Ugxd3R3tncdHYcyQjtl4AaABAg,neni yun,Nanti rangga sasana yg nyari biang keladi corona..,0.0
UgzPhA5bbqdqFSRnsJ14AaABAg,rita emil,"Anak sekolah mulai masuk juga ya,  sempet was was deh,  ya allah.. Mudah2 korona cepet hilang",0.0
UgzZmrs3G9ZwEbbULB14AaABAg,pale ?,Akhirnya new world order ehh new normal maksudnya ..,0.0
UgyHGdabMT57LdMDSR14AaABAg,Bedbully,"Yg ngundang virus siapa, yg minta akur siapa. Psbb amburadul ga tegas (pasar, mudik, blanja ke mol, lebaran), bansos kacau balau salah sasaran ga turun2, tes di daerah gw asal2an, kalau ada kecurigaan kasus cenderung ditutupi buat saling nyelamatin muka. Kasus belum terkontrol, ngapain capek2 diem di rumah 2 bulan kalau ujung2nya maksa longgarin juga? ""New Normal"" itu lawannya ""Gila Dari Dulu"" bukan???",-1.0
UgwwRz8d1z5fJ16NfN14AaABAg,Arif 5,"Eee anjiang yo, gara ekonomi jadi rakyat yang harus di korbankan,emang pemerintah ngak ada otak",-1.0
Ugwq1aKN4z8jYomQ4u94AaABAg,boi tahu,Udah cape pak turun aja dari jabatan pusing denger nya,-1.0
UgwMJbXgFvy6DVHaXUN4AaABAg,kucing bngl,Tetap di rumah aja kl mau aman dari covid19👍,0.0
UgzxN9BpOip4k6c48S94AaABAg,Aji Lutfi,"Saran aja sih, TNI Polri jaga di perbatasan aja, biar gk pada masuk yg dari luar..",0.0
UgxR0MQcQSItg3qG6UB4AaABAg,Yeni agustina Official,takut didemo apa ya. krn udah hadiri peresmian mall. masjid suruh tutup...wkwkwkw,-1.0
Ugzk1E_55LuD8CVN6rl4AaABAg,Arfan Ismail,Rencana apa lagi yg kau rencanakan.........,0.0
UgzwxzkbmnmP_6Kpco14AaABAg,Bayu Sinuraya,"Wah, ada bener nya juga ni kata pemimpin Sunda empire, kehidupan udah mulai masuk tatanan baru 😁",0.0
UgzqojjaKpJKkhQm3Id4AaABAg,ghytho,"Mari Kembali Ke kehidupan.
Kerja Kerja Kerja.",1.0
